Treatment;Time;Species_Tissue;N;mean;sd;se
27;C;7;Cucumber_Root;7;-35.2071428571429;0.522165819311397;0.197360128719464
28;C;7;Cucumber_Shoot;7;-36.1728571428571;0.478215930506791;0.180748632158617
29;C;7;Maize_Root;7;-14.5957142857143;0.68104961010823;0.257412556977697
30;C;7;Maize_Shoot;7;-16.8485714285714;0.353950494251601;0.133780712031162
31;C;7;Tomato_Root;7;-36.3557142857143;0.7055696786488;0.266680271761784
32;C;7;Tomato_Shoot;7;-37.9142857142857;0.147519167439031;0.0557570043798533
33;C;9;Barley_Root;7;-34.7514285714286;1.21722948495656;0.4600695008129
34;C;9;Barley_Shoot;7;-38.1128571428571;0.480961338907619;0.181786298998031
35;C;9;Cucumber_Root;7;-34.1771428571429;1.10265912359947;0.416765974560088
36;C;9;Cucumber_Shoot;7;-36.2;0.633008688723938;0.239254795443805
37;C;9;Maize_Root;7;-15.66;0.413198902870437;0.156174505571416
38;C;9;Maize_Shoot;7;-17.7771428571429;0.322268743220845;0.121806135698813
39;C;9;Tomato_Root;7;-37.38;0.280356915377523;0.105964953775158
40;C;9;Tomato_Shoot;7;-38.7442857142857;0.137459950877476;0.0519549778932795
41;C;11;Barley_Root;7;-34.8742857142857;0.886018380976698;0.334883470442347
42;C;11;Barley_Shoot;7;-38.2371428571429;0.305707610073976;0.115546615736521
43;C;11;Maize_Root;7;-15.99;0.394546152771342;0.149124428710038
44;C;11;Maize_Shoot;7;-17.8585714285714;0.39930892683187;0.150924588097888
45;C;11;Tomato_Root;7;-37.9728571428571;0.088828352402127;0.0335739614039479
46;C;11;Tomato_Shoot;7;-39.3542857142857;0.232440468568989;0.0878542392086956
47;C;12;Cucumber_Root;7;-34.7;0.545649460123744;0.20623611064344
48;C;12;Cucumber_Shoot;7;-36.2128571428571;0.626623605410092;0.236841460793967
49;C;14;Barley_Root;7;-36.55;0.851684605160072;0.321906522959398
50;C;14;Barley_Shoot;7;-39.3285714285714;0.363337702027034;0.137328743071031
51;C;14;Cucumber_Root;7;-34.6885714285714;1.11623516894109;0.421897237383186
52;C;14;Cucumber_Shoot;7;-35.8828571428571;0.702346407544365;0.26546198979743
53;C;14;Maize_Root;7;-16.1785714285714;0.29902221608818;0.11301977432182
54;C;14;Maize_Shoot;7;-17.8557142857143;0.262224912550095;0.0991117008818873
55;C;14;Tomato_Root;7;-37.5142857142857;0.28976180694133;0.109519668658781
56;C;14;Tomato_Shoot;7;-39.0228571428571;0.25895393964399;0.0978753893312039
57;Fe;0;Barley_Root;7;-27.7142857142857;1.06128628156053;0.401128510121947
58;Fe;0;Barley_Shoot;7;-30.8957142857143;0.721407354709231;0.272666350647655
59;Fe;0;Cucumber_Root;7;-31.5171428571429;1.44389189675814;0.545739839840483
60;Fe;0;Cucumber_Shoot;7;-32.5857142857143;0.876410427879107;0.331252005513118
61;Fe;0;Maize_Root;7;-12.4828571428571;0.357198090967009;0.135008188212248
62;Fe;0;Maize_Shoot;7;-13.2557142857143;0.739005122735;0.279317681765653
63;Fe;0;Tomato_Root;7;-33.1814285714286;0.543090801844056;0.205269028715147
64;Fe;0;Tomato_Shoot;7;-35.5014285714286;1.24964566406413;0.472321664866265
65;Fe;1;Tomato_Root;7;-34.2514285714286;0.784249717276085;0.296418531097891
66;Fe;1;Tomato_Shoot;7;-37.45;0.196044212700434;0.0740977475398283
67;Fe;2;Barley_Root;7;-28.7828571428571;1.06795309331628;0.403648328113861
68;Fe;2;Barley_Shoot;7;-33.3957142857143;0.817268971287036;0.308898636039298
69;Fe;2;Cucumber_Root;7;-34.0442857142857;0.774873261526406;0.292874563941769
70;Fe;2;Cucumber_Shoot;7;-34.7871428571429;0.690982737018186;0.261166926055552
71;Fe;2;Maize_Root;7;-13.4314285714286;0.718155706687358;0.271437343216657
72;Fe;2;Maize_Shoot;7;-15.9714285714286;0.346190148686555;0.1308475771093
73;Fe;3;Tomato_Root;7;-36.2228571428571;0.334699581003337;0.126504550750335
74;Fe;3;Tomato_Shoot;7;-38.1728571428571;0.232788479505486;0.0879857749789102
75;Fe;4;Barley_Root;7;-31.6985714285714;1.23290211251649;0.465993197229257
76;Fe;4;Barley_Shoot;7;-35.33;0.741170245849989;0.28013602138281
77;Fe;4;Maize_Root;7;-13.6357142857143;0.978925552887061;0.369999080712224
78;Fe;4;Maize_Shoot;7;-15.2457142857143;0.697205305555859;0.263518835893657
79;Fe;5;Cucumber_Root;7;-33.9242857142857;0.795526181066282;0.30068063379176
80;Fe;5;Cucumber_Shoot;7;-35.4028571428571;0.359986772243754;0.136062210661403
81;Fe;7;Barley_Root;7;-33.32;1.79457515863783;0.678285654109999
82;Fe;7;Barley_Shoot;7;-37.1614285714286;0.611812296145055;0.231243312093031
83;Fe;7;Cucumber_Root;7;-34.95;0.22905603390146;0.0865750431431489
84;Fe;7;Cucumber_Shoot;7;-35.9971428571429;0.599325017157198;0.226523564271067
